COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE
Ringed Kingfisher	-54.8441992	-68.4020805	11/30/95
Ringed Kingfisher	-54.8779893	-67.3312569	11/19/98
Ringed Kingfisher	-54.7889577	-68.2212353	3/15/00
Ringed Kingfisher	-54.8373785	-68.5594082	12/1/04
Ringed Kingfisher	-54.8441992	-68.4020805	1/31/05
Ringed Kingfisher	-54.8109743	-68.321228	3/12/05
Ringed Kingfisher	-54.6666368	-68.5000148	2/7/06
Ringed Kingfisher	-54.7690086	-68.1921387	3/18/08
Ringed Kingfisher	-54.7741577	-68.2017517	2/10/09
Ringed Kingfisher	-54.8465714	-68.5798788	1/5/10
Ringed Kingfisher	-54.8465714	-68.5798788	1/5/10
Ringed Kingfisher	-54.8465714	-68.5798788	1/5/10
Ringed Kingfisher	-54.8449899	-68.5620689	1/5/10
Ringed Kingfisher	-27.6439981	-56.8130493	10/30/91
Ringed Kingfisher	-27.6439981	-56.8130493	10/28/91
Ringed Kingfisher	-28.5355205	-57.1742249	10/29/91
Ringed Kingfisher	-28.5355205	-57.1742249	11/30/03
Ringed Kingfisher	-28.6553	-57.42455	11/19/06
Ringed Kingfisher	-28.4166833	-56.5421	11/20/06
Ringed Kingfisher	-28.5355205	-57.1742249	7/29/09
Ringed Kingfisher	-27.5295849	-56.6017342	10/14/09
Ringed Kingfisher	-28.5355205	-57.1742249	10/6/09
Ringed Kingfisher	-28.4464307	-56.0083008	10/7/09
Ringed Kingfisher	-27.5295849	-56.6017342	10/14/09
Ringed Kingfisher	-28.4464307	-56.0083008	10/7/09
Ringed Kingfisher	-28.5355205	-57.1742249	10/6/09
Ringed Kingfisher	-28.5355205	-57.1742249	11/13/09
Ringed Kingfisher	-28.6553	-57.42455	12/11/09
Ringed Kingfisher	-27.7103167	-57.1876144	3/20/10
Ringed Kingfisher	-27.7103167	-57.1876144	3/22/10
Ringed Kingfisher	-27.7103167	-57.1876144	3/21/10
Ringed Kingfisher	-28.5355205	-57.1742249	7/16/10
Ringed Kingfisher	-28.5355205	-57.1742249	7/16/10
Ringed Kingfisher	-27.7103167	-57.1876144	1/16/11
Ringed Kingfisher	-28.6553	-57.42455	3/14/12
Ringed Kingfisher	-28.6553	-57.42455	3/17/12
Ringed Kingfisher	-28.5355205	-57.1742249	5/12/12
Ringed Kingfisher	-28.5355205	-57.1742249	5/11/12
Ringed Kingfisher	-31.9598815	-64.7184849	2/12/04
Ringed Kingfisher	-29.850557	-64.66722	11/4/08
Ringed Kingfisher	-29.850557	-64.66722	11/4/08
Ringed Kingfisher	-29.850557	-64.66722	11/4/08
Ringed Kingfisher	-29.850557	-64.66722	11/4/08
Ringed Kingfisher	-31.6095336	-64.7376251	11/4/10
Ringed Kingfisher	-31.6095336	-64.7376251	11/4/10
Ringed Kingfisher	-23.9621117	-65.0789486	4/4/86
Ringed Kingfisher	-24.1191307	-65.4662869	6/24/01
Ringed Kingfisher	-24.1191307	-65.4662869	7/14/01
Ringed Kingfisher	-24.1191307	-65.4662869	7/21/01
Ringed Kingfisher	-24.3892652	-65.262849	3/31/03
Ringed Kingfisher	-24.4511616	-65.254266	3/2/03
Ringed Kingfisher	-24.1895367	-65.3044483	11/2/05
Ringed Kingfisher	-24.5325108	-64.9855587	4/9/06
Ringed Kingfisher	-23.5569337	-64.3565914	5/15/06
Ringed Kingfisher	-24.1217081	-65.4526591	10/24/06
Ringed Kingfisher	-24.1260372	-65.4926081	3/31/07
Ringed Kingfisher	-24.1069606	-65.4787731	2/28/08
Ringed Kingfisher	-23.7	-64.866662	11/13/08
Ringed Kingfisher	-23.7	-64.866662	11/13/08
Ringed Kingfisher	-23.7	-64.866662	11/13/08
Ringed Kingfisher	-23.7	-64.866662	11/13/08
Ringed Kingfisher	-24.4197211	-65.2908897	10/23/09
Ringed Kingfisher	-24.1069606	-65.4787731	10/19/09
Ringed Kingfisher	-24.4197211	-65.2908897	10/23/09
Ringed Kingfisher	-24.1069606	-65.4787731	10/19/09
Ringed Kingfisher	-14.849059	-64.889001	4/22/85
Ringed Kingfisher	-15.284286	-64.940392	4/19/85
Ringed Kingfisher	-14.849059	-64.889001	4/20/85
Ringed Kingfisher	-15.284286	-64.940392	4/18/85
Ringed Kingfisher	-14.849059	-64.889001	4/21/85
Ringed Kingfisher	-15.2225683	-63.8760273	12/10/92
Ringed Kingfisher	-13.2640065	-64.6105957	8/15/94
Ringed Kingfisher	-14.849059	-64.889001	8/12/94
Ringed Kingfisher	-13.2640065	-64.6105957	8/14/94
