#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#1=Adelie // 2=Chinstrap // 3=Magellanic
penguin,-64.1297837,-59.6777344,1/29/03,1
penguin,-64.1297837,-59.6777344,1/30/03,1
penguin,-77.8338889,166.6672222,1/14/03,1
penguin,-64.8333333,-62.55,11/17/04,1
penguin,-70.2519444,-70.9107854,11/20/04,1
penguin,-64.6776749,-62.6021576,12/26/04,1
penguin,-77.4546983,169.2406082,12/9/04,1
penguin,-77.4546983,169.2406082,1/21/05,1
penguin,-63.395827,-57.0066833,2/17/05,1
penguin,-63.3890613,-56.953125,3/14/05,1
penguin,-63.7047224,-56.5356445,3/15/05,1
penguin,-61.4807595,-50.625,3/16/05,1
penguin,-62.3738173,-59.7738647,3/13/05,1
penguin,-64.6321155,-63.4899902,12/22/05,1
penguin,-64.6605205,-62.1715645,12/4/05,1
penguin,-64.6776749,-62.6021576,12/5/05,1
penguin,-65.2423016,-64.2594359,12/11/05,1
penguin,-62.5320023,-59.7793579,12/3/05,1
penguin,-63.2016667,-56.915,1/19/06,1
penguin,-62.0987419,-57.8979492,1/20/06,1
penguin,-65.1672682,-64.1604815,2/22/06,1
penguin,-63.6267446,-55.8984375,12/25/06,1
penguin,-64.8833333,-62.8666667,1/20/07,1
penguin,-65.2423016,-64.2594359,1/9/07,1
penguin,-65.1034144,-64.0548632,1/8/07,1
penguin,-64.848937,-62.919491,1/22/07,1
penguin,-66.8645085,-66.8192261,1/27/07,1
penguin,-65.2423016,-64.2594359,1/28/07,1
penguin,-65.257485,-64.2463176,1/28/07,1
penguin,-65.1678202,-64.1529358,1/17/07,1
penguin,-65.257485,-64.2463176,1/18/07,1
penguin,-65.0690036,-64.0082397,1/19/07,1
penguin,-64.6910965,-62.6207866,1/20/07,1
penguin,-65.257485,-64.2463176,1/29/07,1
penguin,-62.5427274,-60.4467773,12/22/07,1
penguin,-61.2702328,-50.625,1/16/08,1
penguin,-61.85,-58.467,1/16/08,1
penguin,-65.1666667,-64.1666667,2/8/08,1
penguin,-65.2333333,-64.15,2/8/08,1
penguin,-65.1784185,-64.1519165,11/24/08,1
penguin,-62.3851183,-59.7748947,11/12/08,1
penguin,-63.5191747,-56.8700409,11/28/08,1
penguin,-64.8333333,-62.55,11/27/08,1
penguin,-62.1860139,-58.8977051,12/29/08,1
penguin,-64.0607,-56.81044,1/20/09,1
penguin,-64.00319,-56.76287,1/20/09,1
penguin,-64.0607,-56.81044,1/20/09,1
penguin,-63.15828,-53.23552,1/19/09,1
penguin,-64.00319,-56.76287,1/20/09,1
penguin,-63.15828,-53.23552,1/19/09,1
penguin,-63.15828,-53.23552,1/19/09,1
penguin,-63.54526,-53.38445,1/20/09,1
penguin,-64.00319,-56.76287,1/20/09,1
penguin,-64.0607,-56.81044,1/20/09,1
penguin,-64.00319,-56.76287,1/20/09,1
penguin,-64.0607,-56.81044,1/20/09,1
penguin,-63.15828,-53.23552,1/19/09,1
penguin,-63.54526,-53.38445,1/20/09,1
penguin,-63.51722,-56.87012,1/21/09,1
penguin,-64.2990827,-56.7831116,1/20/09,1
penguin,-63.57381,-55.78613,1/20/09,1
penguin,-63.51722,-56.87012,1/21/09,1
penguin,-64.2990827,-56.7831116,1/20/09,1
penguin,-63.57381,-55.78613,1/20/09,1
penguin,-63.57381,-55.78613,1/20/09,1
penguin,-64.2990827,-56.7831116,1/20/09,1
penguin,-63.51722,-56.87012,1/21/09,1
penguin,-63.51722,-56.87012,1/21/09,1
penguin,-64.2990827,-56.7831116,1/20/09,1
penguin,-63.57381,-55.78613,1/20/09,1
penguin,-65.3747992,-63.1054832,11/15/09,1
penguin,-62.1860139,-58.8977051,12/30/09,1
penguin,-63.1642761,-56.6674805,12/24/09,1
penguin,-65.166886,-64.1381836,1/19/10,1
penguin,-63.52708,-56.76814,1/23/10,1
penguin,-63.76703,-57.22142,1/23/10,1
penguin,-63.76703,-57.22142,1/23/10,1
penguin,-63.52708,-56.76814,1/23/10,1
penguin,-64.2990827,-56.7831116,1/22/10,1
penguin,-64.56289,-62.48898,1/24/10,1
penguin,-64.774203,-64.0531629,1/25/10,1
penguin,-63.8600359,-56.7443848,1/20/10,1
penguin,-63.8600359,-56.7443848,1/20/10,1
penguin,-77.8459731,166.6386724,1/11/10,1
penguin,-64.56289,-62.48898,1/24/10,1
penguin,-64.774203,-64.0531629,1/25/10,1
penguin,-64.774203,-64.0531629,1/25/10,1
penguin,-63.76703,-57.22142,1/23/10,1
penguin,-63.52708,-56.76814,1/23/10,1
penguin,-64.56289,-62.48898,1/24/10,1
penguin,-63.57381,-55.78613,1/19/10,1
penguin,-62.5553888,-59.5321655,1/21/10,1
penguin,-63.653,-57.2196667,1/19/10,1
penguin,-63.7333333,-57.3619444,1/19/10,1
penguin,-62.2666667,-52.2666667,1/18/10,1
penguin,-63.8600359,-56.7443848,1/19/10,1
penguin,-62.2666667,-52.2666667,1/18/10,1
penguin,-63.653,-57.2196667,1/19/10,1
penguin,-62.5553888,-59.5321655,1/21/10,1
penguin,-63.7333333,-57.3619444,1/19/10,1
penguin,-62.5553888,-59.5321655,1/21/10,1
penguin,-63.653,-57.2196667,1/19/10,1
penguin,-63.7333333,-57.3619444,1/19/10,1
penguin,-62.2666667,-52.2666667,1/18/10,1
penguin,-62.0997058,-57.9261017,1/22/10,1
penguin,-62.0997058,-57.9261017,1/22/10,1
penguin,-63.57381,-55.78613,1/19/10,1
penguin,-63.5191747,-56.8700409,1/23/10,1
penguin,-63.5191747,-56.8700409,1/23/10,1
penguin,-64.2990827,-56.7831116,1/23/10,1
penguin,-63.395827,-57.0066833,1/20/10,1
penguin,-63.5191747,-56.8700409,1/23/10,1
penguin,-63.395827,-57.0066833,1/20/10,1
penguin,-63.57381,-55.78613,1/19/10,1
penguin,-63.57381,-55.78613,1/19/10,1
penguin,-63.395827,-57.0066833,1/20/10,1
penguin,-64.2990827,-56.7831116,1/23/10,1
penguin,-64.2990827,-56.7831116,1/23/10,1
penguin,-77.8459731,166.6386724,2/11/10,1
penguin,-77.847762,166.6670179,2/12/10,1
penguin,-63.2016667,-56.915,12/29/10,1
penguin,-65.0920916,-63.9701271,12/11/10,1
penguin,-62.4694387,-58.1712341,1/15/11,1
penguin,-77.847,166.666,1/18/11,1
penguin,-74.1,176.65,1/27/11,1
penguin,-77.6459473,165.9979248,1/19/11,1
penguin,-71.5,172.3,1/25/11,1
penguin,-73,173,1/24/11,1
penguin,-61.2153006,-45.6240275,1/13/11,1
penguin,-63.2523632,-57.2387031,1/20/11,1
penguin,-77.8459731,166.6386724,1/10/11,1
penguin,-77.847,166.666,2/19/11,1
penguin,-72.75,174,2/8/11,1
penguin,-77.30777,170.19148,2/21/11,1
penguin,-77.55299,166.16252,2/25/11,1
penguin,-77.63725,166.41913,2/25/11,1
penguin,-77.217,166.43729,2/26/11,1
penguin,-77.84571,166.64226,2/27/11,1
penguin,-63.57381,-55.78613,2/8/11,1
penguin,-75.0490029,-47.2636629,11/14/11,1
penguin,-64.1597522,-61.1993187,11/17/11,1
penguin,-64.6321155,-63.4899902,11/16/11,1
penguin,-77.847762,166.6670179,1/2/12,1
penguin,-66.0166667,-65.45,1/22/12,1
penguin,-77.847762,166.6670179,1/3/12,1
penguin,-77.847762,166.6670179,1/3/12,1
penguin,-63.57381,-55.78613,1/22/12,1
penguin,-65.1026917,-64.0531466,3/25/12,1
penguin,-51.6963952,-57.8375244,1/16/08,1
penguin,-42.425334,173.7143019,12/30/92,1
penguin,-75.55,-178.15,1/22/11,1
penguin,-62.6085081,-59.8754883,1/31/92,2
penguin,-63.5485522,-55.8984375,1/29/92,2
penguin,-62.1860139,-58.8977051,1/19/92,2
penguin,-64.5295482,-62.7539063,2/1/92,2
penguin,-64.8816022,-63.3691406,2/2/92,2
penguin,-62.144976,-58.0957031,2/3/92,2
penguin,-65.0920916,-63.9701271,1/3/94,2
penguin,-62.9333333,-60.6,2/28/95,2
penguin,-61.0662591,-54.6844482,12/8/95,2
penguin,-65.3982296,-61.5234395,1/1/96,2
penguin,-62.6438682,-60.4852295,1/27/96,2
penguin,-62.5173883,-61.5838623,1/28/96,2
penguin,-62.9502273,-60.6390381,1/16/96,2
penguin,-63.2830624,-60.2655029,1/17/96,2
penguin,-62.6552081,-60.6139832,1/13/97,2
penguin,-63.0225824,-60.4714966,1/10/97,2
penguin,-64.6833333,-62.6333333,1/11/97,2
penguin,-62.5977654,-59.9139404,1/13/97,2
penguin,-64.8166667,-63.5,1/11/97,2
penguin,-59.8006343,-60.7543945,2/16/97,2
penguin,-63.4210307,-57.9418945,1/31/98,2
penguin,-63.1345032,-56.0742188,1/30/98,2
penguin,-63.6706335,-59.0734863,2/1/98,2
penguin,-64.8184173,-63.480116,2/28/00,2
penguin,-64.8333333,-62.55,2/29/00,2
penguin,-63.5191747,-56.8700409,3/1/00,2
penguin,-62.9627151,-60.6280518,12/14/01,2
penguin,-60.8877,-55.2392578,1/28/03,2
penguin,-64.1297837,-59.6777344,1/29/03,2
penguin,-64.1297837,-59.6777344,1/30/03,2
penguin,-64.1297837,-59.6777344,1/31/03,2
penguin,-62.5977654,-59.9139404,11/15/04,2
penguin,-70.2519444,-70.9107854,11/20/04,2
penguin,-64.6776749,-62.6021576,12/26/04,2
penguin,-77.4546983,169.2406082,1/21/05,2
penguin,-59.4986884,-50.1503947,2/16/05,2
penguin,-63.395827,-57.0066833,2/17/05,2
penguin,-64.4932054,-62.0497317,2/18/05,2
penguin,-63.3890613,-56.953125,3/14/05,2
penguin,-61.4807595,-50.625,3/16/05,2
penguin,-62.3738173,-59.7738647,3/13/05,2
penguin,-64.6321155,-63.4899902,12/22/05,2
penguin,-62.6454722,-60.5810972,12/31/05,2
penguin,-64.6605205,-62.1715645,12/4/05,2
penguin,-64.6776749,-62.6021576,12/5/05,2
penguin,-62.3413231,-59.8164368,12/3/05,2
penguin,-62.5320023,-59.7793579,12/3/05,2
penguin,-60.9837669,-54.6899414,1/18/06,2
penguin,-62.0987419,-57.8979492,1/20/06,2
penguin,-62.591667,-59.920833,2/20/06,2
penguin,-64.8166667,-63.5,2/21/06,2
penguin,-62.965212,-60.534668,12/29/06,2
penguin,-62.4209032,-59.6337891,12/29/06,2
penguin,-64.8833333,-62.8666667,1/20/07,2
penguin,-64.6776749,-62.6021576,1/6/07,2
penguin,-62.5835978,-59.9111938,1/4/07,2
penguin,-63.0225824,-60.4714966,1/5/07,2
penguin,-61.053633,-55.055443,1/19/07,2
penguin,-62.510416,-59.815853,1/20/07,2
penguin,-64.543718,-61.964539,1/21/07,2
penguin,-64.848937,-62.919491,1/22/07,2
penguin,-65.0690036,-64.0082397,1/19/07,2
penguin,-64.6910965,-62.6207866,1/20/07,2
penguin,-63.0225824,-60.4714966,1/21/07,2
penguin,-62.65,-60.6166667,1/21/07,2
penguin,-62.5977654,-59.9139404,2/2/07,2
penguin,-62.3413231,-59.8164368,11/12/07,2
penguin,-62.5427274,-60.4467773,12/22/07,2
penguin,-62.915233,-59.0625,12/26/07,2
penguin,-61.9389504,-54.84375,1/15/08,2
penguin,-61,-58.25,1/15/08,2
penguin,-63,-60.5,1/18/08,2
penguin,-65.1666667,-64.1666667,2/8/08,2
penguin,-64.3113485,-62.8088379,2/9/08,2
penguin,-62.4,-59.7333333,2/6/08,2
penguin,-61.0689166,-54.7998047,2/18/08,2
penguin,-62.3851183,-59.7748947,11/12/08,2
penguin,-62.594289,-59.9197769,11/22/08,2
penguin,-62.3413231,-59.8164368,11/26/08,2
penguin,-64.8833333,-62.8666667,11/24/08,2
penguin,-64.8333333,-62.55,11/27/08,2
penguin,-62.1860139,-58.8977051,12/29/08,2
penguin,-60.78966,-44.44308,1/18/09,2
penguin,-60.7606,-44.69247,1/18/09,2
penguin,-62.5975,-59.90102,1/22/09,2
penguin,-60.76606,-44.68396,1/18/09,2
penguin,-63.57381,-55.78613,1/20/09,2
penguin,-62.76341,-51.54677,1/19/09,2
penguin,-61.8152,-48.28471,1/19/09,2
penguin,-62.02577,-48.97271,1/19/09,2
penguin,-63.57381,-55.78613,1/20/09,2
penguin,-62.64425,-51.19837,1/19/09,2
penguin,-62.53559,-50.95015,1/19/09,2
penguin,-62.20934,-49.62886,1/19/09,2
penguin,-62.20934,-49.62886,1/19/09,2
penguin,-62.53559,-50.95015,1/19/09,2
penguin,-62.76341,-51.54677,1/19/09,2
penguin,-62.64425,-51.19837,1/19/09,2
penguin,-62.02577,-48.97271,1/19/09,2
penguin,-62.64425,-51.19837,1/19/09,2
penguin,-62.53559,-50.95015,1/19/09,2
penguin,-61.8152,-48.28471,1/19/09,2
penguin,-62.76341,-51.54677,1/19/09,2
penguin,-62.20934,-49.62886,1/19/09,2
penguin,-60.76606,-44.68396,1/18/09,2
penguin,-62.02577,-48.97271,1/19/09,2
penguin,-61.8152,-48.28471,1/19/09,2
penguin,-60.7606,-44.69247,1/18/09,2
penguin,-60.78966,-44.44308,1/18/09,2
penguin,-63.57381,-55.78613,1/20/09,2
penguin,-60.76606,-44.68396,1/18/09,2
penguin,-60.65559,-44.02555,1/18/09,2
penguin,-60.37896,-43.63164,1/18/09,2
penguin,-60.7606,-44.69247,1/18/09,2
penguin,-60.78966,-44.44308,1/18/09,2
penguin,-62.5975,-59.90102,1/22/09,2
penguin,-60.65559,-44.02555,1/18/09,2
penguin,-60.37896,-43.63164,1/18/09,2
penguin,-62.5975,-59.90102,1/22/09,2
penguin,-60.37896,-43.63164,1/18/09,2
penguin,-60.65559,-44.02555,1/18/09,2
penguin,-60.37896,-43.63164,1/18/09,2
penguin,-62.5975,-59.90102,1/22/09,2
penguin,-60.65559,-44.02555,1/18/09,2
penguin,-60.78966,-44.44308,1/18/09,2
penguin,-60.7606,-44.69247,1/18/09,2
penguin,-60.76606,-44.68396,1/18/09,2
penguin,-61.8152,-48.28471,1/19/09,2
penguin,-62.02577,-48.97271,1/19/09,2
penguin,-62.53559,-50.95015,1/19/09,2
penguin,-63.57381,-55.78613,1/20/09,2
penguin,-62.20934,-49.62886,1/19/09,2
penguin,-62.64425,-51.19837,1/19/09,2
penguin,-62.76341,-51.54677,1/19/09,2
penguin,-62.4,-59.6833333,2/13/09,2
penguin,-62.0833333,-57.9166667,2/13/09,2
penguin,-62.65,-60.6166667,2/16/09,2
penguin,-64.6833333,-62.6333333,2/15/09,2
penguin,-64.8166667,-63.5,2/15/09,2
penguin,-65.3747992,-63.1054832,11/15/09,2
penguin,-62.1860139,-58.8977051,12/30/09,2
penguin,-62.5977654,-59.9139404,12/28/09,2
penguin,-65.0818,-64.04758,1/26/10,2
penguin,-65.0818,-64.04758,1/26/10,2
penguin,-61.96696,-57.30628,1/22/10,2
penguin,-64.2990827,-56.7831116,1/22/10,2
penguin,-64.6776749,-62.6021576,1/24/10,2
penguin,-62.5977654,-59.9139404,1/21/10,2
penguin,-62.9627151,-60.6280518,1/21/10,2
penguin,-64.6776749,-62.6021576,1/24/10,2
penguin,-64.6776749,-62.6021576,1/24/10,2
penguin,-63.57381,-55.78613,1/19/10,2
penguin,-59.5833333,-47.3833333,1/17/10,2
penguin,-62.5553888,-59.5321655,1/21/10,2
penguin,-62.5553888,-59.5321655,1/21/10,2
penguin,-59.5833333,-47.3833333,1/17/10,2
penguin,-62.5553888,-59.5321655,1/21/10,2
penguin,-62.9627151,-60.6280518,1/21/10,2
penguin,-62.5977654,-59.9139404,1/21/10,2
penguin,-59.5833333,-47.3833333,1/17/10,2
penguin,-62.5977654,-59.9139404,1/21/10,2
penguin,-62.9627151,-60.6280518,1/21/10,2
penguin,-61.96696,-57.30628,1/22/10,2
penguin,-62.0997058,-57.9261017,1/22/10,2
penguin,-61.96696,-57.30628,1/22/10,2
penguin,-62.0997058,-57.9261017,1/22/10,2
penguin,-60.9837669,-54.6899414,12/28/10,2
penguin,-63.2016667,-56.915,12/29/10,2
penguin,-64.7910931,-63.5174561,12/30/10,2
penguin,-63.0225824,-60.4714966,12/31/10,2
penguin,-65.0920916,-63.9701271,12/11/10,2
penguin,-63.0128623,-60.3904724,1/17/11,2
penguin,-62.4694387,-58.1712341,1/15/11,2
penguin,-61.0183,-54.945,1/14/11,2
penguin,-61.2153006,-45.6240275,1/13/11,2
penguin,-63.2523632,-57.2387031,1/20/11,2
penguin,-61.0662591,-54.6844482,2/7/11,2
penguin,-62.5879868,-59.9216075,11/15/11,2
penguin,-62.35,-59.7833333,1/19/12,2
penguin,-62.4166667,-59.7,1/19/12,2
penguin,-62.9627151,-60.6280518,1/23/12,2
penguin,-59.8006343,-60.7543945,1/21/12,2
penguin,-62.3413231,-59.8164368,3/23/12,2
penguin,-59.9604215,-62.4514424,3/27/12,2
penguin,-51.6963952,-57.8375244,1/16/08,2
penguin,-54.5051371,-36.6998291,1/24/98,2
penguin,-54.5051371,-36.6998291,1/25/98,2
penguin,-54.5051371,-36.6998291,1/26/98,2
penguin,-54.6267203,-35.9455333,3/5/00,2
penguin,-54.2808138,-36.5081502,3/6/00,2
penguin,-54.5752458,-35.9143066,1/25/03,2
penguin,-53.9366878,-37.902832,1/23/03,2
penguin,-54.2620158,-36.4746094,1/24/03,2
penguin,-54.213861,-36.3867188,3/21/05,2
penguin,-54.213861,-36.3867188,3/19/05,2
penguin,-54.0269445,-37.9680204,11/27/05,2
penguin,-54.4325117,-36.1711121,1/16/06,2
penguin,-54.017778,-37.976111,2/13/06,2
penguin,-54.412537,-36.086071,1/16/07,2
penguin,-54.78138,-35.80834,1/16/09,2
penguin,-54.78138,-35.80834,1/16/09,2
penguin,-54.78138,-35.80834,1/16/09,2
penguin,-54.78138,-35.80834,1/16/09,2
penguin,-54.0567279,-37.3179474,1/14/10,2
penguin,-54.0567279,-37.3179474,1/14/10,2
penguin,-54.0567279,-37.3179474,1/14/10,2
penguin,-54.0105933,-37.9811096,1/12/10,2
penguin,-53.330873,-45.703125,1/12/10,2
penguin,-54.0593879,-37.265625,1/14/10,2
penguin,-54.0105933,-37.9811096,1/12/10,2
penguin,-54.0105933,-37.9811096,1/12/10,2
penguin,-54.8162146,-35.9976945,11/10/11,2
penguin,-54.1989798,-36.900883,3/29/12,2
penguin,-45.7288,170.6002,11/27/92,2
penguin,-57.2790428,-42.0556641,1/26/03,2
penguin,-57.2790428,-42.0556641,1/27/03,2
penguin,-57.610107,-40.5175781,3/18/05,2
penguin,-38.2070421,-57.2953343,2/26/05,3
penguin,-42.2940757,-64.0494786,5/27/74,3
penguin,-42.2940757,-64.0494786,5/25/74,3
penguin,-42.2940757,-64.0494786,5/26/74,3
penguin,-42.5357086,-65.2864464,4/12/86,3
penguin,-44.0484242,-65.2227402,11/12/92,3
penguin,-44.9725707,-65.9179688,12/5/92,3
penguin,-44.0484242,-65.2227402,1/12/93,3
penguin,-42.1151231,-63.765149,1/13/93,3
penguin,-44.9725707,-65.9179688,11/23/93,3
penguin,-44.0452408,-65.2207403,2/22/94,3
penguin,-44.0484242,-65.2227402,11/5/94,3
penguin,-42.46298,-64.104538,11/3/94,3
penguin,-44.0484242,-65.2227402,11/13/98,3
penguin,-44.0452408,-65.2207403,11/25/98,3
penguin,-42.46298,-64.104538,11/15/99,3
penguin,-42.7656349,-63.6380053,12/5/99,3
penguin,-44.0484242,-65.2227402,11/22/02,3
penguin,-44.0484242,-65.2227402,12/1/02,3
penguin,-42.46298,-64.104538,2/5/03,3
penguin,-42.46298,-64.104538,9/7/04,3
penguin,-42.428525,-64.515667,10/23/04,3
penguin,-42.5,-63.933333,2/16/05,3
penguin,-45.1152075,-66.5452194,3/14/05,3
penguin,-42.46298,-64.104538,3/19/05,3
penguin,-42.4338661,-63.6214828,11/1/05,3
penguin,-44.0484242,-65.2227402,11/2/05,3
penguin,-42.46298,-64.104538,12/27/05,3
penguin,-42.46298,-64.104538,12/28/05,3
penguin,-42.46298,-64.104538,12/27/05,3
penguin,-44.0452408,-65.2207403,11/21/06,3
penguin,-42.3695027,-63.6405029,11/5/06,3
penguin,-44.0484242,-65.2227402,1/16/08,3
penguin,-42.0982224,-63.7976074,2/13/08,3
penguin,-42.3046667,-63.6711667,9/30/08,3
penguin,-42.4281667,-64.516,9/30/08,3
penguin,-42.6186667,-64.259,9/30/08,3
penguin,-42.4281667,-64.516,9/29/08,3
penguin,-42.0900701,-63.7536621,3/27/09,3
penguin,-42.0900701,-63.7536621,3/26/09,3
penguin,-42.573531,-64.2790103,11/1/09,3
penguin,-44.9725707,-65.9179688,12/31/09,3
penguin,-44.9725707,-65.9179688,12/31/09,3
penguin,-44.0484242,-65.2227402,1/4/10,3
penguin,-42.7656349,-63.6380053,11/16/10,3
penguin,-42.4653699,-63.6113334,11/16/10,3
penguin,-42.8251364,-64.8855972,11/17/10,3
penguin,-42.428525,-64.515667,11/16/10,3
penguin,-42.46298,-64.104538,10/4/11,3
penguin,-54.8718657,-67.9504395,11/8/92,3
penguin,-54.8718657,-67.9504395,12/1/92,3
penguin,-54.803891,-68.2445862,1/3/93,3
penguin,-54.8951699,-67.5171661,11/7/94,3
penguin,-54.8718657,-67.9504395,11/30/95,3
penguin,-54.8441992,-68.4020805,1/20/98,3
penguin,-55.0369945,-65.694809,2/20/98,3
penguin,-54.834551,-68.1578064,2/20/98,3
penguin,-54.8951699,-67.5171661,11/19/98,3
penguin,-54.8441992,-68.4020805,11/19/99,3
penguin,-54.8951699,-67.5171661,1/1/02,3
penguin,-54.795935,-68.288269,2/16/03,3
penguin,-54.835144,-68.469758,2/9/03,3
penguin,-54.8951699,-67.5171661,2/2/03,3
penguin,-54.8595437,-68.540079,12/21/03,3
penguin,-54.8718657,-67.9504395,11/30/04,3
penguin,-54.3597572,-67.6586151,11/18/04,3
penguin,-54.8441992,-68.4020805,1/31/05,3
penguin,-54.8951699,-67.5171661,1/26/05,3
penguin,-54.8951699,-67.5171661,1/18/05,3
penguin,-54.8109743,-68.321228,2/2/05,3
penguin,-54.8109743,-68.321228,3/12/05,3
penguin,-54.8951699,-67.5171661,3/11/05,3
penguin,-54.8441992,-68.4020805,3/8/05,3
penguin,-54.8718657,-67.9504395,9/15/05,3
penguin,-54.8441992,-68.4020805,12/12/05,3
penguin,-54.8718657,-67.9504395,1/9/06,3
penguin,-54.6666368,-68.5000148,2/7/06,3
penguin,-54.8718657,-67.9504395,1/2/07,3
penguin,-54.8095246,-68.3099974,1/24/07,3
penguin,-54.8718657,-68.0932617,11/2/07,3
penguin,-54.8481527,-68.2017517,2/11/08,3
penguin,-54.8951699,-67.5171661,2/6/08,3
penguin,-54.8753227,-67.3307419,12/1/08,3
penguin,-55.02017,-65.5591,1/8/09,3
penguin,-54.91937,-65.26609,1/8/09,3
penguin,-54.78364,-65.10088,1/8/09,3
penguin,-54.6422,-64.92181,1/8/09,3
penguin,-54.91937,-65.26609,1/8/09,3
penguin,-55.02017,-65.5591,1/8/09,3
penguin,-54.91937,-65.26609,1/8/09,3
penguin,-55.02017,-65.5591,1/8/09,3
penguin,-54.91937,-65.26609,1/8/09,3
penguin,-54.78364,-65.10088,1/8/09,3
penguin,-54.78364,-65.10088,1/8/09,3
penguin,-54.6422,-64.92181,1/8/09,3
penguin,-54.6422,-64.92181,1/8/09,3
penguin,-54.78364,-65.10088,1/8/09,3
penguin,-54.6422,-64.92181,1/8/09,3
penguin,-54.8718657,-67.9504395,2/11/09,3
penguin,-54.9836489,-66.8332672,1/29/10,3
penguin,-55.1037021,-66.5298805,1/29/10,3
penguin,-55.1037021,-66.5298805,1/29/10,3
penguin,-55.0779795,-66.61067,1/29/10,3
penguin,-55.0365852,-66.7094062,1/29/10,3
penguin,-55.0365852,-66.7094062,1/29/10,3
penguin,-55.0163667,-66.7563415,1/29/10,3
penguin,-55.0163667,-66.7563415,1/29/10,3
penguin,-54.2441667,-64.35,1/7/10,3
penguin,-54.8718657,-67.9504395,1/6/10,3
