#COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Adelie // 2=Chinstrap // 3=Magellanic
penguin,-42.4,-64.5,9/30/08,274,3
penguin,-42.6,-64.3,9/30/08,274,3
penguin,-42.4,-64.5,9/29/08,273,3
penguin,-42.1,-63.8,3/27/09,88,3
penguin,-42.1,-63.8,3/26/09,87,3
penguin,-42.6,-64.3,11/1/09,306,3
penguin,-45.0,-65.9,12/31/09,366,3
penguin,-45.0,-65.9,12/31/09,366,3
penguin,-44.0,-65.2,1/4/10,4,3
penguin,-42.8,-63.6,11/16/10,321,3
penguin,-42.5,-63.6,11/16/10,321,3
penguin,-42.8,-64.9,11/17/10,322,3
penguin,-42.4,-64.5,11/16/10,321,3
penguin,-42.5,-64.1,10/4/11,278,3
penguin,-54.9,-68.0,11/8/92,313,3
penguin,-54.9,-68.0,12/1/92,336,3
penguin,-54.8,-68.2,1/3/93,3,3
penguin,-54.9,-67.5,11/7/94,312,3
penguin,-54.9,-68.0,11/30/95,335,3
penguin,-54.8,-68.4,1/20/98,20,3
penguin,-55.0,-65.7,2/20/98,50,3
penguin,-54.8,-68.2,2/20/98,50,3
penguin,-54.9,-67.5,11/19/98,324,3
penguin,-54.8,-68.4,11/19/99,324,3
penguin,-54.9,-67.5,1/1/02,1,3
penguin,-54.8,-68.3,2/16/03,46,3
penguin,-54.8,-68.5,2/9/03,39,3
penguin,-54.9,-67.5,2/2/03,32,3
penguin,-54.9,-68.5,12/21/03,356,3
penguin,-54.9,-68.0,11/30/04,335,3
penguin,-54.4,-67.7,11/18/04,323,3
penguin,-54.8,-68.4,1/31/05,31,3
penguin,-54.9,-67.5,1/26/05,26,3
penguin,-54.9,-67.5,1/18/05,18,3
penguin,-54.8,-68.3,2/2/05,32,3
penguin,-54.8,-68.3,3/12/05,73,3
penguin,-54.9,-67.5,3/11/05,72,3
penguin,-54.8,-68.4,3/8/05,69,3
penguin,-54.9,-68.0,9/15/05,259,3
penguin,-54.8,-68.4,12/12/05,347,3
penguin,-54.9,-68.0,1/9/06,9,3
penguin,-54.7,-68.5,2/7/06,37,3
penguin,-54.9,-68.0,1/2/07,2,3
penguin,-54.8,-68.3,1/24/07,24,3
penguin,-54.9,-68.1,11/2/07,307,3
penguin,-54.8,-68.2,2/11/08,41,3
penguin,-54.9,-67.5,2/6/08,36,3
penguin,-54.9,-67.3,12/1/08,336,3
penguin,-55.0,-65.6,1/8/09,8,3
penguin,-54.9,-65.3,1/8/09,8,3
penguin,-54.8,-65.1,1/8/09,8,3
penguin,-54.6,-64.9,1/8/09,8,3
penguin,-54.9,-65.3,1/8/09,8,3
penguin,-55.0,-65.6,1/8/09,8,3
penguin,-54.9,-65.3,1/8/09,8,3
penguin,-55.0,-65.6,1/8/09,8,3
penguin,-54.9,-65.3,1/8/09,8,3
penguin,-54.8,-65.1,1/8/09,8,3
penguin,-54.8,-65.1,1/8/09,8,3
penguin,-54.6,-64.9,1/8/09,8,3
penguin,-54.6,-64.9,1/8/09,8,3
penguin,-54.8,-65.1,1/8/09,8,3
penguin,-54.6,-64.9,1/8/09,8,3
penguin,-54.9,-68.0,2/11/09,41,3
penguin,-55.0,-66.8,1/29/10,29,3
penguin,-55.1,-66.5,1/29/10,29,3
penguin,-55.1,-66.5,1/29/10,29,3
penguin,-55.1,-66.6,1/29/10,29,3
penguin,-55.0,-66.7,1/29/10,29,3
penguin,-55.0,-66.7,1/29/10,29,3
penguin,-55.0,-66.8,1/29/10,29,3
penguin,-55.0,-66.8,1/29/10,29,3
penguin,-54.2,-64.4,1/7/10,7,3
penguin,-54.9,-68.0,1/6/10,6,3
penguin,-54.9,-68.0,1/6/10,6,3
penguin,-54.9,-68.0,1/6/10,6,3
penguin,-53.2,-63.1,1/7/10,7,3
penguin,-54.8,-68.3,1/4/10,4,3
penguin,-54.9,-67.3,1/6/10,6,3
penguin,-53.2,-63.1,1/7/10,7,3
penguin,-54.2,-64.4,1/7/10,7,3
penguin,-54.2,-64.4,1/7/10,7,3
penguin,-53.2,-63.1,1/7/10,7,3
penguin,-54.9,-68.0,1/18/10,18,3
penguin,-54.9,-68.0,11/25/10,330,3
penguin,-54.9,-68.0,12/3/10,338,3
penguin,-54.8,-68.3,1/19/11,19,3
penguin,-54.4,-67.2,1/7/11,7,3
penguin,-54.9,-67.5,11/1/11,306,3
penguin,-54.8,-68.3,3/20/12,81,3
penguin,-54.9,-68.0,11/6/12,311,3
penguin,-47.8,-65.9,11/4/04,309,3
penguin,-47.7,-66.0,11/5/04,310,3
