#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#DAY SERIAL NUMBER
penguin,-77.847762,166.6670179,2/12/10,42
penguin,-63.2016667,-56.915,12/29/10,364
penguin,-65.0920916,-63.9701271,12/11/10,346
penguin,-62.4694387,-58.1712341,1/15/11,15
penguin,-77.847,166.666,1/18/11,18
penguin,-74.1,176.65,1/27/11,27
penguin,-77.6459473,165.9979248,1/19/11,19
penguin,-71.5,172.3,1/25/11,25
penguin,-73,173,1/24/11,24
penguin,-61.2153006,-45.6240275,1/13/11,13
penguin,-63.2523632,-57.2387031,1/20/11,20
penguin,-77.8459731,166.6386724,1/10/11,10
penguin,-77.847,166.666,2/19/11,49
penguin,-72.75,174,2/8/11,38
penguin,-77.30777,170.19148,2/21/11,51
penguin,-77.55299,166.16252,2/25/11,55
penguin,-77.63725,166.41913,2/25/11,55
penguin,-77.217,166.43729,2/26/11,56
penguin,-77.84571,166.64226,2/27/11,57
penguin,-63.57381,-55.78613,2/8/11,38
penguin,-75.0490029,-47.2636629,11/14/11,319
penguin,-64.1597522,-61.1993187,11/17/11,322
penguin,-64.6321155,-63.4899902,11/16/11,321
penguin,-77.847762,166.6670179,1/2/12,2
penguin,-66.0166667,-65.45,1/22/12,22
penguin,-77.847762,166.6670179,1/3/12,3
penguin,-77.847762,166.6670179,1/3/12,3
penguin,-63.57381,-55.78613,1/22/12,22
penguin,-65.1026917,-64.0531466,3/25/12,86
penguin,-51.6963952,-57.8375244,1/16/08,16
penguin,-42.425334,173.7143019,12/30/92,365
penguin,-75.55,-178.15,1/22/11,22
penguin,-62.6085081,-59.8754883,1/31/92,31
penguin,-63.5485522,-55.8984375,1/29/92,29
penguin,-62.1860139,-58.8977051,1/19/92,19
penguin,-64.5295482,-62.7539063,2/1/92,31
penguin,-64.8816022,-63.3691406,2/2/92,32
penguin,-62.144976,-58.0957031,2/3/92,33
penguin,-65.0920916,-63.9701271,1/3/94,3
penguin,-62.9333333,-60.6,2/28/95,58
penguin,-61.0662591,-54.6844482,12/8/95,343
penguin,-65.3982296,-61.5234395,1/1/96,1
penguin,-62.6438682,-60.4852295,1/27/96,27
penguin,-62.5173883,-61.5838623,1/28/96,28
penguin,-62.9502273,-60.6390381,1/16/96,16
penguin,-63.2830624,-60.2655029,1/17/96,17
penguin,-62.6552081,-60.6139832,1/13/97,13
penguin,-63.0225824,-60.4714966,1/10/97,10
penguin,-64.6833333,-62.6333333,1/11/97,11
penguin,-62.5977654,-59.9139404,1/13/97,13
penguin,-64.8166667,-63.5,1/11/97,11
penguin,-59.8006343,-60.7543945,2/16/97,46
penguin,-63.4210307,-57.9418945,1/31/98,31
penguin,-63.1345032,-56.0742188,1/30/98,30
penguin,-63.6706335,-59.0734863,2/1/98,31
penguin,-64.8184173,-63.480116,2/28/00,58
penguin,-64.8333333,-62.55,2/29/00,59
penguin,-63.5191747,-56.8700409,3/1/00,62
penguin,-62.9627151,-60.6280518,12/14/01,349
penguin,-60.8877,-55.2392578,1/28/03,28
penguin,-64.1297837,-59.6777344,1/29/03,29
penguin,-64.1297837,-59.6777344,1/30/03,30
penguin,-64.1297837,-59.6777344,1/31/03,31
penguin,-62.5977654,-59.9139404,11/15/04,320
penguin,-70.2519444,-70.9107854,11/20/04,325
penguin,-64.6776749,-62.6021576,12/26/04,361
penguin,-77.4546983,169.2406082,1/21/05,21
penguin,-59.4986884,-50.1503947,2/16/05,46
penguin,-63.395827,-57.0066833,2/17/05,47
penguin,-64.4932054,-62.0497317,2/18/05,48
penguin,-63.3890613,-56.953125,3/14/05,75
penguin,-61.4807595,-50.625,3/16/05,77
penguin,-62.3738173,-59.7738647,3/13/05,74
penguin,-64.6321155,-63.4899902,12/22/05,357
penguin,-62.6454722,-60.5810972,12/31/05,366
penguin,-64.6605205,-62.1715645,12/4/05,339
penguin,-64.6776749,-62.6021576,12/5/05,340
penguin,-62.3413231,-59.8164368,12/3/05,338
penguin,-62.5320023,-59.7793579,12/3/05,338
penguin,-60.9837669,-54.6899414,1/18/06,18
penguin,-62.0987419,-57.8979492,1/20/06,20
penguin,-62.591667,-59.920833,2/20/06,50
penguin,-64.8166667,-63.5,2/21/06,51
penguin,-62.965212,-60.534668,12/29/06,364
penguin,-62.4209032,-59.6337891,12/29/06,364
penguin,-64.8833333,-62.8666667,1/20/07,20
penguin,-64.6776749,-62.6021576,1/6/07,6
penguin,-62.5835978,-59.9111938,1/4/07,4
penguin,-63.0225824,-60.4714966,1/5/07,5
penguin,-61.053633,-55.055443,1/19/07,19
penguin,-62.510416,-59.815853,1/20/07,20
penguin,-64.543718,-61.964539,1/21/07,21
penguin,-64.848937,-62.919491,1/22/07,22
penguin,-65.0690036,-64.0082397,1/19/07,19
penguin,-64.6910965,-62.6207866,1/20/07,20
