COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Blue-and-yellow // 2=Blue-headed // 3=
macaw	-12.8	-69.3	6/4/87	156	4
macaw	-12.8	-69.3	6/5/87	157	1
macaw	-12.8	-69.3	6/7/87	159	8
macaw	-12.8	-69.3	6/8/87	160	1
macaw	-12.8	-69.3	6/9/87	161	1
macaw	-12.8	-69.3	6/9/87	161	4
macaw	-12.8	-69.3	6/9/87	161	8
macaw	-12.8	-69.3	6/9/87	161	11
macaw	-12.8	-69.3	6/10/87	162	1
macaw	-12.8	-69.3	6/11/87	163	1
macaw	-12.8	-69.3	6/12/87	164	1
macaw	-12.8	-69.3	6/16/87	168	1
macaw	-12.8	-69.3	6/16/87	168	4
macaw	-12.8	-69.3	6/17/87	169	1
macaw	-12.8	-69.3	6/17/87	169	4
macaw	-12.8	-69.3	6/18/87	170	1
macaw	-12.8	-69.3	6/19/87	171	1
macaw	-12.8	-69.3	6/20/87	172	1
macaw	-12.8	-69.3	6/21/87	173	1
macaw	-12.8	-69.3	6/21/87	173	1
macaw	-12.8	-69.3	6/21/87	173	4
macaw	-12.8	-69.3	6/21/87	173	8
macaw	-12.8	-69.3	6/22/87	174	1
macaw	-12.8	-69.3	6/22/87	174	8
macaw	-12.8	-69.3	6/22/87	174	8
macaw	-12.8	-69.3	6/23/87	175	1
macaw	-12.8	-69.3	6/23/87	175	1
macaw	-12.8	-69.3	6/23/87	175	4
macaw	-12.8	-69.3	6/23/87	175	4
macaw	-12.8	-69.3	6/23/87	175	8
macaw	-12.8	-69.3	6/23/87	175	8
macaw	-12.8	-69.3	6/23/87	175	11
macaw	-12.8	-69.3	6/23/87	175	11
macaw	-12.8	-69.3	6/24/87	176	4
macaw	-12.8	-69.3	6/24/87	176	11
macaw	-12.8	-69.3	6/25/87	177	4
macaw	-12.9	-71.4	8/13/87	226	1
macaw	-12.9	-71.4	8/13/87	226	4
macaw	-12.3	-70.9	8/14/87	227	1
macaw	-12.3	-70.9	8/14/87	227	4
macaw	-12.3	-70.9	8/14/87	227	8
macaw	-12.0	-71.2	8/15/87	228	11
macaw	-12.0	-71.2	8/16/87	229	1
macaw	-12.0	-71.2	8/16/87	229	4
macaw	-12.0	-71.2	8/16/87	229	9
macaw	-12.0	-71.2	8/17/87	230	1
macaw	-12.0	-71.2	8/17/87	230	11
macaw	-12.0	-71.2	8/18/87	231	1
macaw	-12.0	-71.2	8/18/87	231	4
macaw	-12.0	-71.2	8/18/87	231	11
macaw	-12.8	-69.3	10/24/87	298	11
macaw	-12.8	-69.3	10/26/87	300	1
macaw	-12.8	-69.3	10/26/87	300	4
macaw	-12.8	-69.3	10/26/87	300	8
macaw	-12.8	-69.3	10/26/87	300	11
macaw	-12.8	-69.3	10/27/87	301	1
macaw	-12.8	-69.3	10/27/87	301	4
macaw	-12.8	-69.3	10/28/87	302	1
macaw	-12.8	-69.3	10/28/87	302	11
macaw	-12.8	-69.3	10/29/87	303	11
macaw	-12.8	-69.3	10/30/87	304	11
macaw	-12.8	-69.3	10/31/87	305	1
macaw	-12.8	-69.3	10/31/87	305	8
macaw	-12.8	-69.3	10/31/87	305	11
macaw	-17.7	-60.7	11/4/87	309	12
macaw	-18.1	-60.9	11/6/87	311	1
macaw	-17.3	-60.6	11/9/87	314	1
macaw	-17.3	-60.6	11/9/87	314	8
macaw	-17.3	-60.6	11/9/87	314	12
macaw	10.6	-83.5	11/13/87	318	5
macaw	9.8	-63.2	12/8/87	343	1
macaw	9.8	-63.2	12/8/87	343	9
macaw	25.7	-80.3	12/13/87	348	4
macaw	9.6	-84.6	12/27/87	362	11
macaw	9.8	-84.6	12/28/87	363	11
macaw	9.8	-84.6	12/29/87	364	11
macaw	9.6	-84.6	12/30/87	365	11
macaw	9.8	-84.6	12/31/87	366	11
macaw	10.3	-85.2	1/5/88	5	11
macaw	9.6	-84.6	1/8/88	8	11
macaw	9.8	-84.6	1/9/88	9	11
macaw	9.8	-84.6	1/10/88	10	11
macaw	9.6	-84.6	1/11/88	11	11
macaw	9.8	-84.6	1/12/88	12	11
macaw	26.7	-80.1	1/17/88	17	7
macaw	8.7	-83.7	1/19/88	19	11
macaw	8.5	-83.6	2/24/88	54	11
macaw	8.5	-83.6	2/25/88	55	11
macaw	8.5	-83.6	2/26/88	56	11
macaw	10.7	-61.3	3/14/88	75	9
macaw	25.7	-80.3	3/31/88	92	10
macaw	25.7	-80.3	4/3/88	94	10
macaw	25.7	-80.3	4/4/88	95	10
macaw	25.7	-80.3	4/9/88	100	10
macaw	26.1	-80.1	4/18/88	109	4
macaw	9.8	-84.6	4/20/88	111	11
macaw	25.9	-80.2	4/29/88	120	4
macaw	6.4	-61.4	5/2/88	124	8
macaw	16.9	-91.0	6/26/88	178	11
macaw	16.9	-91.0	6/27/88	179	11
macaw	7.8	-68.3	8/2/88	215	4
macaw	7.8	-68.3	8/2/88	215	11
macaw	25.7	-80.3	10/30/88	304	10
macaw	9.8	-84.6	12/27/88	362	11
macaw	9.8	-84.6	12/28/88	363	11
macaw	9.8	-84.6	12/29/88	364	11
macaw	25.7	-80.3	1/6/89	6	10
macaw	10.4	-67.6	1/8/89	8	4
macaw	8.9	-68.1	1/9/89	9	11
macaw	8.9	-68.1	1/9/89	9	11
macaw	25.7	-80.3	1/30/89	30	10
