COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Black Kite // 2=Lesser Nighthawk
kite,-23.7,133.9,10/24/11,298,1
kite,-23.7,133.9,10/6/11,280,1
kite,-14.2,132.1,10/31/11,305,1
kite,-12.5,131.1,10/9/11,283,1
kite,-14.2,132.2,10/14/11,288,1
kite,-23.7,133.9,10/14/11,288,1
kite,-15.6,130.5,10/13/11,287,1
kite,-23.7,133.9,1/27/12,27,1
kite,-12.3,130.9,4/22/12,113,1
kite,-12.3,130.9,4/21/12,112,1
kite,-12.7,131.3,4/24/12,115,1
kite,-12.7,132.8,4/26/12,117,1
kite,-12.7,132.8,4/25/12,116,1
kite,-12.6,131.3,4/24/12,115,1
kite,-12.4,130.9,4/19/12,110,1
kite,-25.4,131.0,4/14/12,105,1
kite,-12.4,130.9,4/23/12,114,1
kite,-12.3,130.9,4/25/12,116,1
kite,-12.3,130.9,4/28/12,119,1
kite,-12.4,130.9,4/27/12,118,1
kite,-12.4,130.9,4/18/12,109,1
kite,-12.3,130.9,4/15/12,106,1
kite,-12.4,130.8,4/27/12,118,1
kite,-12.3,130.9,5/7/12,129,1
kite,-12.4,130.9,5/10/12,132,1
kite,-12.4,130.9,5/3/12,125,1
kite,-12.4,130.9,5/1/12,123,1
kite,-12.4,130.9,5/25/12,147,1
kite,-12.4,130.9,5/23/12,145,1
kite,-12.4,130.9,5/11/12,133,1
kite,-12.4,130.9,5/13/12,135,1
kite,-12.4,130.9,5/15/12,137,1
kite,-12.4,130.9,5/29/12,151,1
kite,-12.4,130.9,5/30/12,152,1
kite,-12.3,130.9,5/28/12,150,1
kite,-12.4,130.9,5/11/12,133,1
kite,-12.4,130.8,6/9/12,161,1
kite,-12.7,131.5,6/11/12,163,1
kite,-12.6,131.3,6/11/12,163,1
kite,-12.4,130.9,6/1/12,153,1
kite,-12.4,130.9,6/6/12,158,1
kite,-12.3,130.9,6/5/12,157,1
kite,-12.4,130.9,6/9/12,161,1
kite,-12.4,130.9,6/13/12,165,1
kite,-12.3,130.9,6/12/12,164,1
kite,-12.3,130.9,6/15/12,167,1
kite,-12.3,130.9,6/17/12,169,1
kite,-12.9,131.6,6/23/12,175,1
kite,-12.9,132.5,6/24/12,176,1
kite,-12.4,130.9,6/19/12,171,1
kite,-12.4,130.9,6/23/12,175,1
kite,-12.4,130.9,6/24/12,176,1
kite,-12.4,130.9,6/16/12,168,1
kite,-12.4,130.9,6/9/12,161,1
kite,-12.4,130.9,6/9/12,161,1
kite,-12.7,131.3,6/11/12,163,1
kite,-12.5,130.9,6/10/12,162,1
kite,-12.4,130.8,6/9/12,161,1
kite,-12.6,130.9,6/10/12,162,1
kite,-17.7,133.6,7/12/12,195,1
kite,-12.7,131.4,7/3/12,186,1
kite,-12.4,130.9,7/29/12,212,1
kite,-12.4,130.9,7/21/12,204,1
kite,-12.4,130.9,7/7/12,190,1
kite,-12.4,130.9,7/31/12,214,1
kite,-12.4,130.9,7/15/12,198,1
kite,-12.4,130.9,7/30/12,213,1
kite,-12.4,130.9,7/25/12,208,1
kite,-12.4,130.9,7/13/12,196,1
kite,-12.4,130.9,7/6/12,189,1
kite,-12.4,130.9,7/20/12,203,1
kite,-12.4,130.9,7/18/12,201,1
kite,-12.4,130.9,7/5/12,188,1
kite,-12.6,131.3,7/11/12,194,1
kite,-20.6,134.3,8/5/12,218,1
kite,-19.7,134.2,8/5/12,218,1
kite,-19.7,134.2,8/12/12,225,1
kite,-19.6,134.2,8/12/12,225,1
kite,-12.3,130.9,8/2/12,215,1
kite,-16.3,136.1,8/2/12,215,1
kite,-12.4,130.8,8/3/12,216,1
kite,-16.4,136.0,8/1/12,214,1
kite,-19.7,134.2,8/19/12,232,1
kite,-12.4,130.9,8/21/12,234,1
kite,-12.8,131.3,8/2/12,215,1
kite,-12.4,130.9,8/10/12,223,1
kite,-12.4,130.9,8/20/12,233,1
kite,-12.4,130.9,8/10/12,223,1
kite,-12.4,130.9,8/16/12,229,1
kite,-12.4,130.9,8/8/12,221,1
kite,-12.3,130.9,8/8/12,221,1
kite,-12.4,130.9,8/15/12,228,1
kite,-12.4,130.9,8/4/12,217,1
kite,-12.4,130.9,8/26/12,239,1
kite,-12.4,130.9,8/30/12,243,1
kite,-12.4,130.9,8/29/12,242,1
kite,-12.4,130.9,9/23/12,267,1
kite,-12.4,130.9,9/10/12,254,1
kite,-12.3,130.9,9/22/12,266,1
kite,-12.3,130.9,9/22/12,266,1
kite,-12.4,130.9,9/23/12,267,1
kite,-12.4,130.8,9/23/12,267,1
kite,-12.4,130.9,9/25/12,269,1
kite,-12.3,130.9,9/24/12,268,1
kite,-12.4,130.9,9/26/12,270,1
kite,-12.4,130.9,9/29/12,273,1
kite,-12.4,130.9,9/25/12,269,1
kite,-13.2,130.7,9/29/12,273,1
kite,-12.8,131.3,9/16/12,260,1
kite,-12.4,130.9,9/13/12,257,1
kite,-12.4,130.9,9/28/12,272,1
kite,-12.4,130.9,9/12/12,256,1
kite,-19.7,134.2,9/9/12,253,1
